Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,1,3,1,4,5,Beautification
1,3,55,3,56,5,Beautification
1,3,68,3,69,5,Beautification
1,1,0,1,3,10,Bring-to-Hotspot
1,1,23,1,26,10,Bring-to-Hotspot
1,1,30,1,33,10,Bring-to-Hotspot
1,3,56,3,59,10,Bring-to-Hotspot
1,3,59,3,62,10,Bring-to-Hotspot
1,3,62,3,65,10,Bring-to-Hotspot
1,3,65,3,68,10,Bring-to-Hotspot
1,3,69,3,72,10,Bring-to-Hotspot
1,1,50,10,53,-15,Move to zone 10
1,10,53,3,54,-5,Move to zone 3
1,1,4,1,5,0,Wait
1,1,5,1,6,0,Wait
1,1,6,1,7,0,Wait
1,1,7,1,8,0,Wait
1,1,8,1,9,0,Wait
1,1,9,1,10,0,Wait
1,1,10,1,11,0,Wait
1,1,11,1,12,0,Wait
1,1,12,1,13,0,Wait
1,1,13,1,14,0,Wait
1,1,14,1,15,0,Wait
1,1,15,1,16,0,Wait
1,1,16,1,17,0,Wait
1,1,17,1,18,0,Wait
1,1,18,1,19,0,Wait
1,1,19,1,20,0,Wait
1,1,20,1,21,0,Wait
1,1,21,1,22,0,Wait
1,1,22,1,23,0,Wait
1,1,26,1,27,0,Wait
1,1,27,1,28,0,Wait
1,1,28,1,29,0,Wait
1,1,29,1,30,0,Wait
1,1,33,1,34,0,Wait
1,1,34,1,35,0,Wait
1,1,35,1,36,0,Wait
1,1,36,1,37,0,Wait
1,1,37,1,38,0,Wait
1,1,38,1,39,0,Wait
1,1,39,1,40,0,Wait
1,1,40,1,41,0,Wait
1,1,41,1,42,0,Wait
1,1,42,1,43,0,Wait
1,1,43,1,44,0,Wait
1,1,44,1,45,0,Wait
1,1,45,1,46,0,Wait
1,1,46,1,47,0,Wait
1,1,47,1,48,0,Wait
1,1,48,1,49,0,Wait
1,1,49,1,50,0,Wait
1,3,54,3,55,0,Wait
2,3,0,3,1,5,Beautification
2,3,1,3,2,5,Beautification
2,10,9,10,10,5,Beautification
2,10,10,10,11,5,Beautification
2,10,11,10,12,5,Beautification
2,10,19,10,20,5,Beautification
2,10,20,10,21,5,Beautification
2,10,24,10,25,5,Beautification
2,10,25,10,26,5,Beautification
2,10,42,10,43,5,Beautification
2,10,43,10,44,5,Beautification
2,11,36,11,37,5,Beautification
2,11,40,11,41,5,Beautification
2,3,2,3,5,10,Bring-to-Hotspot
2,3,5,3,8,10,Bring-to-Hotspot
2,10,12,10,15,10,Bring-to-Hotspot
2,10,16,10,19,10,Bring-to-Hotspot
2,10,21,10,24,10,Bring-to-Hotspot
2,10,26,10,29,10,Bring-to-Hotspot
2,10,29,10,32,10,Bring-to-Hotspot
2,10,45,10,48,10,Bring-to-Hotspot
2,10,48,10,51,10,Bring-to-Hotspot
2,10,51,10,54,10,Bring-to-Hotspot
2,10,54,10,57,10,Bring-to-Hotspot
2,10,57,10,60,10,Bring-to-Hotspot
2,10,60,10,63,10,Bring-to-Hotspot
2,10,63,10,66,10,Bring-to-Hotspot
2,10,66,10,69,10,Bring-to-Hotspot
2,10,69,10,72,10,Bring-to-Hotspot
2,11,37,11,40,10,Bring-to-Hotspot
2,3,8,10,9,-5,Move to zone 10
2,10,33,11,34,-5,Move to zone 11
2,11,41,10,42,-5,Move to zone 10
2,10,15,10,16,0,Wait
2,10,32,10,33,0,Wait
2,10,44,10,45,0,Wait
2,11,34,11,35,0,Wait
2,11,35,11,36,0,Wait
3,5,10,5,11,5,Beautification
3,5,27,5,28,5,Beautification
3,5,33,5,34,5,Beautification
3,12,46,12,47,5,Beautification
3,12,62,12,63,5,Beautification
3,12,63,12,64,5,Beautification
3,5,4,5,7,10,Bring-to-Hotspot
3,5,15,5,18,10,Bring-to-Hotspot
3,5,18,5,21,10,Bring-to-Hotspot
3,5,21,5,24,10,Bring-to-Hotspot
3,5,35,5,38,10,Bring-to-Hotspot
3,5,38,5,41,10,Bring-to-Hotspot
3,12,42,12,45,10,Bring-to-Hotspot
3,12,47,12,50,10,Bring-to-Hotspot
3,12,52,12,55,10,Bring-to-Hotspot
3,12,55,12,58,10,Bring-to-Hotspot
3,12,65,12,68,10,Bring-to-Hotspot
3,12,68,12,71,10,Bring-to-Hotspot
3,5,41,12,42,-5,Move to zone 12
3,5,0,5,1,0,Wait
3,5,1,5,2,0,Wait
3,5,2,5,3,0,Wait
3,5,3,5,4,0,Wait
3,5,7,5,8,0,Wait
3,5,8,5,9,0,Wait
