Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,1,3,1,4,5,Beautification
1,1,13,1,14,5,Beautification
1,2,24,2,25,5,Beautification
1,2,25,2,26,5,Beautification
1,2,29,2,30,5,Beautification
1,3,37,3,38,5,Beautification
1,3,38,3,39,5,Beautification
1,3,48,3,49,5,Beautification
1,3,49,3,50,5,Beautification
1,3,53,3,54,5,Beautification
1,10,70,10,71,5,Beautification
1,10,71,10,72,5,Beautification
1,1,0,1,3,10,Bring-to-Hotspot
1,1,4,1,7,10,Bring-to-Hotspot
1,1,7,1,10,10,Bring-to-Hotspot
1,1,10,1,13,10,Bring-to-Hotspot
1,2,15,2,18,10,Bring-to-Hotspot
1,2,18,2,21,10,Bring-to-Hotspot
1,2,21,2,24,10,Bring-to-Hotspot
1,2,26,2,29,10,Bring-to-Hotspot
1,3,31,3,34,10,Bring-to-Hotspot
1,3,39,3,42,10,Bring-to-Hotspot
1,3,42,3,45,10,Bring-to-Hotspot
1,3,45,3,48,10,Bring-to-Hotspot
1,3,50,3,53,10,Bring-to-Hotspot
1,3,54,3,57,10,Bring-to-Hotspot
1,3,57,3,60,10,Bring-to-Hotspot
1,3,60,3,63,10,Bring-to-Hotspot
1,3,63,3,66,10,Bring-to-Hotspot
1,3,66,3,69,10,Bring-to-Hotspot
1,1,14,2,15,-5,Move to zone 2
1,2,30,3,31,-5,Move to zone 3
1,3,69,10,70,-5,Move to zone 10
1,3,34,3,35,0,Wait
1,3,35,3,36,0,Wait
1,3,36,3,37,0,Wait
2,10,1,10,2,5,Beautification
2,10,2,10,3,5,Beautification
2,10,6,10,7,5,Beautification
2,10,7,10,8,5,Beautification
2,10,8,10,9,5,Beautification
2,10,21,10,22,5,Beautification
2,10,22,10,23,5,Beautification
2,10,23,10,24,5,Beautification
2,10,60,10,61,5,Beautification
2,10,61,10,62,5,Beautification
2,10,68,10,69,5,Beautification
2,10,3,10,6,10,Bring-to-Hotspot
2,10,9,10,12,10,Bring-to-Hotspot
2,10,12,10,15,10,Bring-to-Hotspot
2,10,15,10,18,10,Bring-to-Hotspot
2,10,18,10,21,10,Bring-to-Hotspot
2,10,24,10,27,10,Bring-to-Hotspot
2,10,27,10,30,10,Bring-to-Hotspot
2,10,30,10,33,10,Bring-to-Hotspot
2,10,33,10,36,10,Bring-to-Hotspot
2,10,36,10,39,10,Bring-to-Hotspot
2,10,39,10,42,10,Bring-to-Hotspot
2,10,42,10,45,10,Bring-to-Hotspot
2,10,45,10,48,10,Bring-to-Hotspot
2,10,48,10,51,10,Bring-to-Hotspot
2,10,51,10,54,10,Bring-to-Hotspot
2,10,54,10,57,10,Bring-to-Hotspot
2,10,57,10,60,10,Bring-to-Hotspot
2,10,62,10,65,10,Bring-to-Hotspot
2,10,65,10,68,10,Bring-to-Hotspot
2,10,69,10,72,10,Bring-to-Hotspot
2,3,0,10,1,-5,Move to zone 10
3,5,16,5,17,5,Beautification
3,5,17,5,18,5,Beautification
3,5,21,5,22,5,Beautification
3,5,22,5,23,5,Beautification
3,5,23,5,24,5,Beautification
3,5,61,5,62,5,Beautification
3,5,62,5,63,5,Beautification
3,6,1,6,2,5,Beautification
3,6,5,6,6,5,Beautification
3,6,6,6,7,5,Beautification
3,6,7,6,8,5,Beautification
3,6,11,6,12,5,Beautification
3,12,31,12,32,5,Beautification
3,12,41,12,42,5,Beautification
3,12,57,12,58,5,Beautification
3,12,58,12,59,5,Beautification
3,12,59,12,60,5,Beautification
3,5,18,5,21,10,Bring-to-Hotspot
3,5,24,5,27,10,Bring-to-Hotspot
3,5,27,5,30,10,Bring-to-Hotspot
3,5,63,5,66,10,Bring-to-Hotspot
3,5,66,5,69,10,Bring-to-Hotspot
3,5,69,5,72,10,Bring-to-Hotspot
3,6,2,6,5,10,Bring-to-Hotspot
3,6,8,6,11,10,Bring-to-Hotspot
3,6,12,6,15,10,Bring-to-Hotspot
3,12,32,12,35,10,Bring-to-Hotspot
3,12,35,12,38,10,Bring-to-Hotspot
3,12,38,12,41,10,Bring-to-Hotspot
3,12,42,12,45,10,Bring-to-Hotspot
3,12,45,12,48,10,Bring-to-Hotspot
3,12,48,12,51,10,Bring-to-Hotspot
3,12,51,12,54,10,Bring-to-Hotspot
3,12,54,12,57,10,Bring-to-Hotspot
3,5,0,6,1,-5,Move to zone 6
3,5,30,12,31,-5,Move to zone 12
3,6,15,5,16,-5,Move to zone 5
3,12,60,5,61,-5,Move to zone 5
4,7,68,7,69,5,Beautification
4,8,15,8,16,5,Beautification
4,8,28,8,29,5,Beautification
4,8,38,8,39,5,Beautification
4,8,42,8,43,5,Beautification
4,8,46,8,47,5,Beautification
4,8,47,8,48,5,Beautification
4,8,48,8,49,5,Beautification
4,7,53,7,56,10,Bring-to-Hotspot
4,7,56,7,59,10,Bring-to-Hotspot
4,7,59,7,62,10,Bring-to-Hotspot
4,7,62,7,65,10,Bring-to-Hotspot
4,7,65,7,68,10,Bring-to-Hotspot
4,7,69,7,72,10,Bring-to-Hotspot
4,8,0,8,3,10,Bring-to-Hotspot
4,8,3,8,6,10,Bring-to-Hotspot
4,8,6,8,9,10,Bring-to-Hotspot
4,8,9,8,12,10,Bring-to-Hotspot
4,8,12,8,15,10,Bring-to-Hotspot
4,8,16,8,19,10,Bring-to-Hotspot
4,8,19,8,22,10,Bring-to-Hotspot
4,8,22,8,25,10,Bring-to-Hotspot
4,8,25,8,28,10,Bring-to-Hotspot
4,8,29,8,32,10,Bring-to-Hotspot
4,8,32,8,35,10,Bring-to-Hotspot
4,8,35,8,38,10,Bring-to-Hotspot
4,8,39,8,42,10,Bring-to-Hotspot
4,8,43,8,46,10,Bring-to-Hotspot
4,8,49,8,52,10,Bring-to-Hotspot
4,8,52,7,53,-5,Move to zone 7
5,2,67,2,68,5,Beautification
5,2,68,2,69,5,Beautification
5,2,69,2,70,5,Beautification
5,2,70,2,71,5,Beautification
5,2,71,2,72,5,Beautification
5,9,3,9,4,5,Beautification
5,9,4,9,5,5,Beautification
5,9,5,9,6,5,Beautification
5,9,12,9,13,5,Beautification
5,9,37,9,38,5,Beautification
5,9,50,9,51,5,Beautification
5,9,0,9,3,10,Bring-to-Hotspot
5,9,6,9,9,10,Bring-to-Hotspot
5,9,9,9,12,10,Bring-to-Hotspot
5,9,13,9,16,10,Bring-to-Hotspot
5,9,16,9,19,10,Bring-to-Hotspot
5,9,19,9,22,10,Bring-to-Hotspot
5,9,22,9,25,10,Bring-to-Hotspot
5,9,25,9,28,10,Bring-to-Hotspot
5,9,28,9,31,10,Bring-to-Hotspot
5,9,31,9,34,10,Bring-to-Hotspot
5,9,38,9,41,10,Bring-to-Hotspot
5,9,41,9,44,10,Bring-to-Hotspot
5,9,44,9,47,10,Bring-to-Hotspot
5,9,47,9,50,10,Bring-to-Hotspot
5,9,51,9,54,10,Bring-to-Hotspot
5,9,54,9,57,10,Bring-to-Hotspot
5,9,57,9,60,10,Bring-to-Hotspot
5,9,60,9,63,10,Bring-to-Hotspot
5,9,63,9,66,10,Bring-to-Hotspot
5,9,66,2,67,-5,Move to zone 2
5,9,34,9,35,0,Wait
5,9,35,9,36,0,Wait
5,9,36,9,37,0,Wait
6,4,47,4,48,5,Beautification
6,11,9,11,10,5,Beautification
6,11,22,11,23,5,Beautification
6,11,26,11,27,5,Beautification
6,11,27,11,28,5,Beautification
6,11,40,11,41,5,Beautification
6,11,41,11,42,5,Beautification
6,11,45,11,46,5,Beautification
6,4,48,4,51,10,Bring-to-Hotspot
6,4,51,4,54,10,Bring-to-Hotspot
6,4,54,4,57,10,Bring-to-Hotspot
6,4,57,4,60,10,Bring-to-Hotspot
6,4,60,4,63,10,Bring-to-Hotspot
6,4,63,4,66,10,Bring-to-Hotspot
6,4,66,4,69,10,Bring-to-Hotspot
6,11,0,11,3,10,Bring-to-Hotspot
6,11,3,11,6,10,Bring-to-Hotspot
6,11,6,11,9,10,Bring-to-Hotspot
6,11,10,11,13,10,Bring-to-Hotspot
6,11,13,11,16,10,Bring-to-Hotspot
6,11,16,11,19,10,Bring-to-Hotspot
6,11,19,11,22,10,Bring-to-Hotspot
6,11,23,11,26,10,Bring-to-Hotspot
6,11,28,11,31,10,Bring-to-Hotspot
6,11,31,11,34,10,Bring-to-Hotspot
6,11,34,11,37,10,Bring-to-Hotspot
6,11,37,11,40,10,Bring-to-Hotspot
6,11,42,11,45,10,Bring-to-Hotspot
6,11,46,4,47,-5,Move to zone 4
6,4,69,4,70,0,Wait
6,4,70,4,71,0,Wait
6,4,71,4,72,0,Wait
7,7,71,7,72,5,Beautification
7,13,3,13,4,5,Beautification
7,13,10,13,11,5,Beautification
7,13,23,13,24,5,Beautification
7,13,30,13,31,5,Beautification
7,13,34,13,35,5,Beautification
7,6,36,6,39,10,Bring-to-Hotspot
7,6,39,6,42,10,Bring-to-Hotspot
7,6,42,6,45,10,Bring-to-Hotspot
7,6,45,6,48,10,Bring-to-Hotspot
7,6,48,6,51,10,Bring-to-Hotspot
7,6,51,6,54,10,Bring-to-Hotspot
7,6,54,6,57,10,Bring-to-Hotspot
7,6,57,6,60,10,Bring-to-Hotspot
7,6,60,6,63,10,Bring-to-Hotspot
7,7,64,7,67,10,Bring-to-Hotspot
7,7,67,7,70,10,Bring-to-Hotspot
7,13,0,13,3,10,Bring-to-Hotspot
7,13,4,13,7,10,Bring-to-Hotspot
7,13,7,13,10,10,Bring-to-Hotspot
7,13,11,13,14,10,Bring-to-Hotspot
7,13,14,13,17,10,Bring-to-Hotspot
7,13,17,13,20,10,Bring-to-Hotspot
7,13,20,13,23,10,Bring-to-Hotspot
7,13,24,13,27,10,Bring-to-Hotspot
7,13,27,13,30,10,Bring-to-Hotspot
7,13,31,13,34,10,Bring-to-Hotspot
7,6,63,7,64,-5,Move to zone 7
7,13,35,6,36,-5,Move to zone 6
7,7,70,7,71,0,Wait
8,14,40,14,41,5,Beautification
8,14,47,14,48,5,Beautification
8,14,57,14,58,5,Beautification
8,14,61,14,62,5,Beautification
8,14,62,14,63,5,Beautification
8,14,63,14,64,5,Beautification
8,15,0,15,1,5,Beautification
8,15,4,15,5,5,Beautification
8,15,8,15,9,5,Beautification
8,15,18,15,19,5,Beautification
8,15,25,15,26,5,Beautification
8,15,26,15,27,5,Beautification
8,15,27,15,28,5,Beautification
