Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
6,15,0,15,1,BEAU
6,15,1,15,2,BEAU
6,15,2,15,3,BEAU
6,15,3,15,4,BEAU
6,15,4,15,5,BEAU
6,15,5,15,6,BEAU
6,15,6,15,7,BEAU
6,15,7,15,8,BEAU
6,15,8,15,9,BEAU
6,15,9,15,10,BEAU
6,15,10,15,13,HOT
6,15,13,15,16,HOT
6,15,16,15,19,HOT
6,15,19,15,20,BEAU
6,15,20,15,21,BEAU
6,15,21,15,22,BEAU
6,15,22,15,23,BEAU
6,15,23,15,24,BEAU
6,15,24,15,27,HOT
6,15,27,16,28,MOVE
6,16,28,16,29,BEAU
6,16,29,16,32,HOT
6,16,32,16,33,BEAU
6,16,33,16,34,BEAU
6,16,34,16,35,BEAU
6,16,35,16,36,BEAU
6,16,36,16,39,HOT
6,16,39,16,40,BEAU
6,16,40,16,43,HOT
6,16,43,14,45,MOVE
6,14,45,14,46,BEAU
6,14,46,14,49,HOT
6,14,49,14,50,BEAU
6,14,50,14,51,BEAU
6,14,51,14,54,HOT
6,14,54,14,55,BEAU
6,14,55,14,58,HOT
6,14,58,14,61,HOT
6,14,61,14,62,BEAU
6,14,62,14,63,BEAU
6,14,63,14,66,HOT
6,14,66,14,67,BEAU
6,14,67,14,68,WAIT
6,14,68,14,69,WAIT
6,14,69,14,70,WAIT
6,14,70,14,71,WAIT
