Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
1,5,0,5,3,HOT
1,5,3,5,4,BEAU
1,5,4,5,7,HOT
1,5,7,5,10,HOT
1,5,10,5,11,BEAU
1,5,11,5,12,BEAU
1,5,12,5,15,HOT
1,5,15,5,18,HOT
1,5,18,5,21,HOT
1,5,21,5,22,BEAU
1,5,22,5,25,HOT
1,5,25,5,28,HOT
1,5,28,5,29,BEAU
1,5,29,4,31,MOVE
1,4,31,4,32,BEAU
1,4,32,4,33,BEAU
1,4,33,4,34,BEAU
1,4,34,4,35,BEAU
1,4,35,4,36,BEAU
1,4,36,4,39,HOT
1,4,39,4,40,BEAU
1,4,40,4,41,BEAU
1,4,41,2,43,MOVE
1,2,43,2,44,BEAU
1,2,44,2,45,BEAU
1,2,45,2,46,BEAU
1,2,46,2,49,HOT
1,2,49,2,52,HOT
1,2,52,2,55,HOT
1,2,55,2,56,BEAU
1,2,56,2,59,HOT
1,2,59,2,60,BEAU
1,2,60,2,61,BEAU
1,2,61,2,64,HOT
1,2,64,14,67,MOVE
1,14,67,14,70,HOT
1,14,70,14,71,WAIT
