Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
2,8,0,8,1,BEAU
2,8,1,8,4,HOT
2,8,4,8,7,HOT
2,8,7,8,10,HOT
2,8,10,8,13,HOT
2,8,13,8,14,BEAU
2,8,14,8,17,HOT
2,8,17,8,20,HOT
2,8,20,8,21,BEAU
2,8,21,8,22,BEAU
2,8,22,8,23,BEAU
2,8,23,8,24,BEAU
2,8,24,8,27,HOT
2,8,27,8,30,HOT
2,8,30,8,33,HOT
2,8,33,8,34,BEAU
2,8,34,8,35,BEAU
2,8,35,8,36,BEAU
2,8,36,8,39,HOT
2,8,39,8,40,BEAU
2,8,40,8,41,BEAU
2,8,41,8,42,BEAU
2,8,42,7,43,MOVE
2,7,43,7,46,HOT
2,7,46,7,49,HOT
2,7,49,7,50,BEAU
2,7,50,7,53,HOT
2,7,53,7,56,HOT
2,7,56,7,57,BEAU
2,7,57,7,60,HOT
2,7,60,7,61,BEAU
2,7,61,7,62,BEAU
2,7,62,7,65,HOT
2,7,65,10,71,MOVE
