Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
3,9,0,9,1,BEAU
3,9,1,9,2,BEAU
3,9,2,9,5,HOT
3,9,5,9,6,BEAU
3,9,6,9,9,HOT
3,9,9,9,10,BEAU
3,9,10,9,13,HOT
3,9,13,9,16,HOT
3,9,16,9,19,HOT
3,9,19,9,22,HOT
3,9,22,9,25,HOT
3,9,25,9,28,HOT
3,9,28,9,29,BEAU
3,9,29,9,30,BEAU
3,9,30,9,33,HOT
3,9,33,9,36,HOT
3,9,36,9,37,BEAU
3,9,37,9,40,HOT
3,9,40,9,41,BEAU
3,9,41,9,44,HOT
3,9,44,9,47,HOT
3,9,47,9,48,BEAU
3,9,48,9,49,BEAU
3,9,49,9,52,HOT
3,9,52,10,53,MOVE
3,10,53,10,54,BEAU
3,10,54,10,57,HOT
3,10,57,10,60,HOT
3,10,60,10,61,BEAU
3,10,61,10,62,BEAU
3,10,62,10,63,BEAU
3,10,63,10,64,BEAU
3,10,64,10,65,BEAU
3,10,65,10,66,BEAU
3,10,66,10,69,HOT
3,10,69,10,70,BEAU
3,10,70,10,71,WAIT
