Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
0,3,0,3,3,HOT
0,3,3,3,4,BEAU
0,3,4,3,5,BEAU
0,3,5,3,8,HOT
0,3,8,3,11,HOT
0,3,11,3,12,BEAU
0,3,12,3,13,BEAU
0,3,13,3,14,BEAU
0,3,14,3,15,BEAU
0,3,15,3,18,HOT
0,3,18,3,19,BEAU
0,3,19,3,22,HOT
0,3,22,3,23,BEAU
0,3,23,3,26,HOT
0,3,26,3,27,BEAU
0,3,27,11,29,MOVE
0,11,29,11,30,BEAU
0,11,30,11,33,HOT
0,11,33,12,35,MOVE
0,12,35,12,36,BEAU
0,12,36,12,39,HOT
0,12,39,12,40,BEAU
0,12,40,12,41,BEAU
0,12,41,12,44,HOT
0,12,44,12,45,BEAU
0,12,45,12,46,BEAU
0,12,46,12,49,HOT
0,12,49,12,52,HOT
0,12,52,12,55,HOT
0,12,55,12,56,BEAU
0,12,56,12,57,WAIT
0,12,57,6,59,MOVE
0,6,59,6,60,BEAU
0,6,60,6,61,BEAU
0,6,61,6,62,BEAU
0,6,62,6,65,HOT
0,6,65,6,66,BEAU
0,6,66,6,67,BEAU
0,6,67,6,68,BEAU
0,6,68,6,69,BEAU
0,6,69,6,70,BEAU
0,6,70,6,71,BEAU
