Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
4,11,0,11,1,BEAU
4,11,1,11,2,BEAU
4,11,2,11,3,BEAU
4,11,3,11,6,HOT
4,11,6,11,9,HOT
4,11,9,11,10,BEAU
4,11,10,11,13,HOT
4,11,13,11,14,BEAU
4,11,14,11,15,BEAU
4,11,15,11,16,BEAU
4,11,16,11,19,HOT
4,11,19,11,22,HOT
4,11,22,11,23,BEAU
4,11,23,11,24,BEAU
4,11,24,11,27,HOT
4,11,27,11,30,HOT
4,11,30,11,31,BEAU
4,11,31,11,34,HOT
4,11,34,10,35,MOVE
4,10,35,10,38,HOT
4,10,38,10,39,BEAU
4,10,39,10,42,HOT
4,10,42,10,43,BEAU
4,10,43,10,44,BEAU
4,10,44,10,47,HOT
4,10,47,10,48,BEAU
4,10,48,10,49,BEAU
4,10,49,10,50,BEAU
4,10,50,10,51,BEAU
4,10,51,10,52,BEAU
4,10,52,10,53,BEAU
4,10,53,10,54,BEAU
4,10,54,10,55,BEAU
4,10,55,10,58,HOT
4,10,58,10,59,BEAU
4,10,59,10,60,BEAU
4,10,60,10,63,HOT
4,10,63,10,64,BEAU
4,10,64,10,67,HOT
4,10,67,10,68,BEAU
4,10,68,10,71,HOT
