Beautificator,Zone_From,Time_From,Zone_To,Time_To,Action
2,3,0,3,1,BEAU
2,3,1,3,2,BEAU
2,3,2,3,3,BEAU
2,3,3,3,4,BEAU
2,3,4,3,5,BEAU
2,3,5,3,6,BEAU
2,4,7,4,8,BEAU
2,4,8,4,9,BEAU
2,4,9,4,10,BEAU
2,4,10,4,11,BEAU
2,4,11,4,12,BEAU
2,4,12,4,13,BEAU
2,4,13,4,14,BEAU
2,4,14,4,15,BEAU
2,10,39,10,40,BEAU
2,10,40,10,41,BEAU
2,10,41,10,42,BEAU
2,10,42,10,43,BEAU
2,10,43,10,44,BEAU
2,10,44,10,45,BEAU
2,10,45,10,46,BEAU
2,10,46,10,47,BEAU
2,10,47,10,48,BEAU
2,10,48,10,49,BEAU
2,10,49,10,50,BEAU
2,10,50,10,51,BEAU
2,10,51,10,52,BEAU
2,10,52,10,53,BEAU
2,10,53,10,54,BEAU
2,10,54,10,55,BEAU
2,10,55,10,56,BEAU
2,10,56,10,57,BEAU
2,10,57,10,58,BEAU
2,10,58,10,59,BEAU
2,10,59,10,60,BEAU
2,10,60,10,61,BEAU
2,10,61,10,62,BEAU
2,10,62,10,63,BEAU
2,10,63,10,64,BEAU
2,10,64,10,65,BEAU
2,10,65,10,66,BEAU
2,10,66,10,67,BEAU
2,10,67,10,68,BEAU
2,10,68,10,69,BEAU
2,10,69,10,70,BEAU
2,10,70,10,71,BEAU
2,10,71,10,72,BEAU
2,11,16,11,17,BEAU
2,11,17,11,18,BEAU
2,11,18,11,19,BEAU
2,11,19,11,20,BEAU
2,11,20,11,21,BEAU
2,11,21,11,22,BEAU
2,11,22,11,23,BEAU
2,11,23,11,24,BEAU
2,11,24,11,25,BEAU
2,11,25,11,26,BEAU
2,11,26,11,27,BEAU
2,11,27,11,28,BEAU
2,11,28,11,29,BEAU
2,11,29,11,30,BEAU
2,11,30,11,31,BEAU
2,11,31,11,32,BEAU
2,11,32,11,33,BEAU
2,11,33,11,34,BEAU
2,11,34,11,35,BEAU
2,11,35,11,38,HOT
2,3,6,4,7,MOVE
2,4,15,11,16,MOVE
2,11,38,10,39,MOVE
